Día,SP500,NVIDIA,Euro,Petroleo,Portafolio
0,7600,300,20.29,3000,100000
1,7602.26,299.785,20.2987,3003.9,100033
2,7604.32,300.164,20.2775,3000.89,100020
3,7604.92,301.119,20.2921,2999.4,100107
4,7605.82,301.614,20.3099,2999.49,100174
5,7613.01,301.763,20.3227,3005.63,100277
6,7617.06,301.869,20.3162,3010.44,100331
7,7607.83,301.721,20.3321,3004.76,100261
8,7610.18,302.635,20.3282,3002.37,100320
9,7614.96,302.978,20.2876,3002.66,100317
10,7620.65,303.276,20.3065,3004.09,100395
11,7621.48,302.303,20.3226,2999.78,100301
12,7628.09,302.302,20.2812,2999.75,100271
13,7633.69,302.336,20.2993,3004.72,100356
14,7634.41,303.22,20.3086,3003.56,100434
15,7634.1,303.683,20.3078,3009.96,100524
16,7634.4,303.991,20.3308,3011.63,100593
17,7635.31,304.933,20.3316,3016.19,100713
18,7636.48,304.227,20.3448,3023.63,100737
19,7628.76,303.456,20.3384,3020.68,100615
20,7625.42,303.107,20.3328,3022.36,100582
21,7631.76,303.101,20.34,3021.08,100600
22,7626.47,303.369,20.3354,3017.85,100573
23,7628.4,303.346,20.351,3020.92,100622
24,7628.21,303.351,20.3454,3018.41,100594
25,7620.93,303.021,20.3494,3025.89,100610
26,7618.72,303.679,20.354,3024.47,100651
27,7623.76,304.535,20.3718,3024.91,100764
28,7639.29,303.972,20.3636,3020.26,100720
29,7638.04,304.651,20.3739,3018.16,100767
30,7644.75,305.838,20.401,3004.27,100806
31,7645.34,306.051,20.3983,3001.26,100797
32,7642.93,306.487,20.3873,3006.08,100852
33,7653.04,306.674,20.3877,3011.99,100951
34,7652.36,306.928,20.396,3005.98,100930
35,7659.69,307.476,20.4027,3007.48,101020
36,7666.68,308.058,20.4021,3008.98,101104
37,7669.91,308.519,20.4187,3012.87,101206
38,7667.71,308.552,20.411,3013.07,101193
39,7670.11,308.09,20.4125,3015.61,101186
40,7675.06,308.302,20.4095,3018.79,101243
41,7679.98,307.36,20.4018,3019.21,101174
42,7684.85,307.376,20.3876,3025.54,101227
43,7683.05,308.37,20.3881,3024.2,101293
44,7685.77,308.351,20.3904,3028.34,101338
45,7693.51,308.456,20.3867,3027.12,101357
46,7706.14,308.753,20.4038,3029.89,101468
47,7706.31,308.854,20.4203,3033.17,101525
48,7720.22,308.985,20.4304,3022.88,101508
49,7724.98,309.017,20.4386,3033.92,101628
50,7730.97,309.118,20.4293,3036.42,101666
51,7733.07,309.677,20.4277,3035.92,101713
52,7737.92,309.669,20.4355,3039.65,101769
53,7740.62,310.109,20.4419,3043.1,101851
54,7737.41,310.009,20.4288,3051.73,101888
55,7740.8,309.927,20.4355,3060.82,101977
56,7743.51,310.241,20.4295,3056.5,101968
57,7746.23,310.472,20.4316,3070.81,102118
58,7743.42,310.104,20.4425,3075.53,102131
59,7743.73,310.338,20.4584,3076.07,102176
60,7753.56,310.503,20.459,3074.26,102207
61,7752.65,310.477,20.4727,3078.14,102252
62,7752.24,310.794,20.48,3075.81,102266
63,7749.6,311.152,20.4807,3072.14,102258
64,7750.11,311.633,20.457,3064.27,102205
65,7747.62,312.353,20.4676,3060.85,102241
66,7754.34,312.219,20.4672,3051.54,102174
67,7755.49,311.666,20.4668,3047.6,102098
68,7759,311.78,20.4722,3050.88,102153
69,7762.84,311.562,20.4755,3048.17,102129
70,7759.12,311.875,20.4723,3051.93,102170
71,7761.1,312.03,20.4806,3056.77,102240
72,7761.12,312.077,20.489,3063.89,102314
73,7761.57,312.675,20.4824,3069.03,102400
74,7765.38,312.689,20.4815,3070.15,102422
75,7769,313.915,20.4881,3065.18,102503
76,7765.71,313.037,20.4756,3070.04,102444
77,7771.98,313.422,20.4789,3062.78,102440
78,7767.5,313.558,20.4924,3065.95,102480
79,7769.92,313.394,20.4887,3073.21,102530
80,7767.73,313.179,20.4756,3071.45,102474
